Issuer BaFin-Id,Issuer,Issuer Domicile,Issuer Country,Reportable BaFin-Id,Reportable,Reportable Domicile,Reportable Country,Rights §33 & §34,Rights §38,Rights §39,Publishing Date
40000849,ADLER Real Estate Aktiengesellschaft,Berlin,Deutschland,,,,,,,,
,,,,50079388,ADLER Group S.A.,Senningerberg,Luxemburg,"91,93","0,0","91,93",03.04.2020
40001680,ADVA Optical Networking SE,Meiningen,Deutschland,,,,,,,,
,,,,40011719,Dimensional Holdings Inc.,Austin,Vereinigte Staaten von Amerika,"4,32","0,0","4,32",04.02.2022
,,,,40009748,DNB Asset Management AS,Oslo,Norwegen,"5,02","0,0","5,02",01.08.2019
,,,,50039007,EGORA Holding GmbH,Martinsried,Deutschland,"14,99","0,0","14,99",08.12.2017
,,,,40011872,JANUS HENDERSON GROUP PLC,St Helier,"Jersey, Kanalinseln","4,47","0,0","4,47",07.07.2021
,,,,50039510,JPMORGAN CHASE & CO,Wilmington,Vereinigte Staaten von Amerika,"5,19","0,22","5,41",10.05.2022
,,,,40029379,Samson Rock Capital LLP,London,Großbritannien,"5,02","0,0","5,02",07.03.2022
,,,,40003642,"The Goldman Sachs Group, Inc.",Wilmington,Vereinigte Staaten von Amerika,"0,57","5,92","6,48",03.03.2022
,,,,40022736,UBS Group AG,Zürich,Schweiz,"5,45","0,0","5,45",14.01.2022
40001512,AGIV Real Estate Aktiengesellschaft,Hamburg,Deutschland,,,,,,,,
,,,,50037663,ALCON Holdings GmbH,Hamburg,Deutschland,"9,52",,,16.11.2005
,,,,60488762,"Behne, Dr. Rainer K.F.",,,"13,0",,,27.09.2002
,,,,60490532,"Bock, Christian",,,"3,74",,,13.01.2009
,,,,50071527,Domus Real Estate GmbH,Hamburg,Deutschland,"3,74",,,13.01.2009
,,,,40001487,EnBW Energie Baden-Württemberg AG,Karlsruhe,Deutschland,"14,2",,,27.09.2002
,,,,60489230,"Knapp Voith, Alexander",,,"9,52",,,16.11.2005
,,,,61017117,"Tanzer, Matthias",,,"10,01",,,09.12.2011
40000851,AGROB Immobilien AG,Ismaning,Deutschland,,,,,,,,
,,,,61070458,"Ditting, Rolf Nikolaus",,,"7,99","0,03","8,02",25.10.2021
,,,,61070253,"Fuchs, Michael",,,"81,87","0,0","81,87",03.11.2021
,,,,61056197,"Koller, Günter Stephan",,,"7,99","0,03","8,02",25.10.2021
,,,,61070455,"Pape, Christian",,,"7,99","0,03","8,02",25.10.2021
,,,,61070252,"Rosen, Aby Jacob",,,"81,87","0,0","81,87",03.11.2021
,,,,60806842,"Schmidt, Frank Gerhard",,,"7,99","0,03","8,02",25.10.2021
,,,,60806840,"Schmitz-Morkramer, Philipp Carl",,,"7,99","0,03","8,02",25.10.2021
,,,,61056284,"Singer, Samuel",,,"81,87","0,0","81,87",03.11.2021
,,,,61070453,"von Finck, Wilhelm",,,"7,99","0,03","8,02",25.10.2021
,,,,61070500,"Völkers, Christian Philipp",,,"7,99","0,03","8,02",25.10.2021
,,,,61070454,"Völkers, Thomas",,,"7,99","0,03","8,02",25.10.2021
40000847,Ahlers AG,Herford,Deutschland,,,,,,,,
,,,,60496301,"Ahlers, Dr. Stella A.",,,"52,54","0,0","52,54",03.07.2018
,,,,61061165,"Ingwersen-Weingarten, Rolf-Dieter",,,"3,49","0,0","3,49",02.08.2019
,,,,60490353,"Zours, Wilhelm Konrad Thomas",,,"3,01","0,0","3,01",28.02.2019
40001488,AIXTRON SE,Herzogenrath,Deutschland,,,,,,,,
,,,,40029385,AIM INTERNATIONAL MUTUAL FUNDS (INVESCO INTERNATIONAL MUTUAL FUNDS),Wilmington,Vereinigte Staaten von Amerika,"4,99","0,0","4,99",20.12.2019
,,,,10105515,Allianz Global Investors GmbH,Frankfurt am Main,Deutschland,"2,23","0,0","2,23",31.05.2016
,,,,40020259,Artisan Partners Asset Management Inc.,Wilmington,Vereinigte Staaten von Amerika,"4,98","0,0","4,98",19.07.2021
,,,,40007740,Baillie Gifford & Co Limited,Edinburgh,Großbritannien,"4,86","0,0","4,86",29.01.2020
,,,,40006048,"BlackRock, Inc.",Wilmington,Vereinigte Staaten von Amerika,"3,41","0,29","3,7",31.08.2020
,,,,10105513,DWS Investment GmbH,Frankfurt,Deutschland,"3,1","0,0","3,1",29.04.2022
,,,,40008476,Invesco Ltd.,Hamilton,Bermuda,"4,33","0,0","4,33",20.12.2019
,,,,60490192,"Jürgensen, Dr. Holger",,,"9,83",,,03.11.2008
,,,,40032660,Ninety One Plc,London,Großbritannien,"3,00226","0,0","3,00226",11.01.2022
,,,,61055089,"Norris, Barry",,,"3,45","1,45","4,9",24.10.2017
,,,,40015696,Vanguard International Growth Fund,Wayne,Vereinigte Staaten von Amerika,"3,32",,,21.10.2011
40026959,AKASOL AG,Darmstadt,Deutschland,,,,,,,,
,,,,50038195,BorgWarner Inc.,Wilmington,Vereinigte Staaten von Amerika,"89,08","0,0","89,08",07.06.2021
40000855,Aktienbrauerei Kaufbeuren Aktiengesellschaft,Kaufbeuren,Deutschland,,,,,,,,
,,,,40026556,JP´s Nevada Trust,Henderson,Vereinigte Staaten von Amerika,"91,54","0,0","91,54",25.08.2017
40024841,Aladdin Healthcare Technologies SE,Berlin,Deutschland,,,,,,,,
,,,,61058209,"Badenoch, Alexander Brunton",,,"5,24","0,0","5,24",02.10.2018
,,,,61058212,"Badenoch, Amelia Becky",,,"5,24","0,0","5,24",02.10.2018
,,,,61058211,"Badenoch, Hamish Alexander",,,"5,24","0,0","5,24",02.10.2018
,,,,61058213,"Badenoch, James Brunton",,,"5,24","0,0","5,24",02.10.2018
,,,,61058210,"Badenoch, Minnie Dara",,,"15,02","0,0","15,02",02.10.2018
,,,,61058206,"Menpes-Smith, Wade",,,"14,8","0,0","14,8",02.02.2022
,,,,40018467,R&H Trust Co. (Guernsey) Limited,St. Peter Port,"Guernsey, Kanalinseln","9,78","0,0","9,78",27.09.2018
,,,,40028230,Sepon Foundation,Vaduz,Liechtenstein,"15,09","0,0","15,09",01.02.2022
,,,,61070598,"Simoes Germano, Maria De Jesus",,,"13,79","0,0","13,79",02.11.2021
,,,,61058207,"Sohal, Rajinder",,,"4,98","0,0","4,98",01.10.2018
40001560,ALBA SE,Köln,Deutschland,,,,,,,,
,,,,60495210,"Schweitzer, Dr. Axel",,,"93,26","0,0","93,26",29.03.2019
,,,,60495211,"Schweitzer, Dr. Eric",,,"93,26","0,0","93,26",29.03.2019
40001191,Albis Leasing AG,Hamburg,Deutschland,,,,,,,,
,,,,60489078,"Hauschildt, Rolf",,,"27,64","0,0","27,64",25.03.2022
,,,,61038667,"Schmitt, Joachim",,,"6,45","0,0","6,45",22.10.2020
,,,,61019936,"Zitzmann, Christoph",,,"25,03","0,0","25,03",22.06.2021
40000854,Alexanderwerk Aktiengesellschaft,Remscheid,Deutschland,,,,,,,,
,,,,61021788,"Appelhagen, Andreas",,,"9,99944","0,0","9,99944",02.03.2022
,,,,61041063,"Arnz, Jan Peter",,,"5,0167",,,26.08.2015
,,,,61018143,"Dietze, Martin",,,"3,89","0,0","3,89",26.03.2021
,,,,61019798,"Mariotti, Thomas",,,"6,11",,,19.09.2011
,,,,40023288,RECAY GmbH,Remscheid,Deutschland,"20,04",,"20,04",30.12.2015
,,,,61033298,"Schmitt, Dr. Hubert-Ralph",,,"25,53","0,0","25,53",14.12.2020
40001854,All for One Group SE,Filderstadt,Deutschland,,,,,,,,
,,,,61006090,"Knünz, Dr. Rudolf",,,"50,4","0,0","50,4",17.06.2021
,,,,60822402,"Kotauczek, Prof. Ing. Peter",,,"6,85","0,0","6,85",16.05.2019
,,,,50029602,MainFirst,Strassen,Luxemburg,"7,74","0,0","7,74",09.06.2017
,,,,61061970,"Neumann, Bernd",,,"50,2","0,0","50,2",18.12.2019
,,,,61061969,"Neumann, Paul",,,"50,14","0,0","50,14",09.10.2019
,,,,50077319,Unternehmens Invest Aktiengesellschaft,Wien,Österreich,"50,4","0,0","50,4",17.06.2021
10121987,Allane SE,Pullach i.Isartal,Deutschland,,,,,,,,
,,,,20000286,"Banco Santander, S.A.",Santander,Spanien,"92,07","0,0","92,07",17.07.2020
40002005,Allgeier SE,München,Deutschland,,,,,,,,
,,,,60488907,"Dinsel, Detlef",,,"12,82","0,0","12,82",19.05.2021
,,,,60488920,"Dürschmidt, Carl Georg",,,"28,08",,,20.12.2003
,,,,61026408,"Dürschmidt, Linda",,,"27,57",,,31.10.2012
,,,,60822239,"Kleine-Dürschmidt, Dr. Christa",,,"29,99",,,31.10.2012
,,,,50038955,Lantano Beteiligungen GmbH,München,Deutschland,"25,02",,,11.03.2009
,,,,40019554,LANTANO Zweite Beteiligungen GmbH,München,Deutschland,"25,11",,,09.11.2012
,,,,61026409,"Pirkl-Dürschmidt, Laura",,,"27,57",,,31.10.2012
,,,,40016605,Setanta Asset Management Limited,Dublin 1,Irland,"3,01","0,0","3,01",18.08.2020
,,,,40021533,The Desmarais Family Residuary Trust,Montréal,Kanada,"3,01","0,0","3,01",17.08.2020
10006949,Allianz SE,München,Deutschland,,,,,,,,
,,,,40006048,"BlackRock, Inc.",Wilmington,Vereinigte Staaten von Amerika,"6,94","0,04","6,99",25.10.2021
40002006,Alphaform AG,Feldkirchen bei München,Deutschland,,,,,,,,
,,,,50039516,Advanced European Technologies N.V.,Heiloo,Niederlande,"16,54",,,04.05.2002
,,,,50016542,"Baden-Württembergische Versorgungsanstalt für Ärzte, Zahnärzte und Tierärzte",Tübingen,Deutschland,"6,96","0,0","6,96",25.07.2016
,,,,50038792,Falk Strascheg Holding GmbH,Berg,Deutschland,"6,93",,,11.12.2005
,,,,60490475,"Langer, Dr. Hans J.",,,"17,06",,,04.11.2014
,,,,10105496,LBBW Asset Management Investmentgesellschaft mbH,Stuttgart,Deutschland,"7,69",,,06.03.2014
,,,,50039017,LHUM Vermögensverwaltungs GmbH,Gräfelfing,Deutschland,"17,06",,,04.11.2014
